STATE,Out-of-State Tuition and Fees,,,,,,,,,,
,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
RI,"$36,779 ","$36,264 ","$37,228 ","$36,792 ","$37,482 ","$37,587 ","$37,904 ","$38,498 ","$37,640 ","$35,908 ","$35,804 "
SC,"$37,451 ","$38,032 ","$39,094 ","$39,861 ","$40,377 ","$40,554 ","$40,586 ","$40,093 ","$38,294 ","$35,455 ","$34,934 "
SD,"$13,264 ","$13,053 ","$14,628 ","$14,893 ","$14,997 ","$15,132 ","$15,320 ","$15,137 ","$14,604 ","$13,524 ","$12,942 "
TN,"$38,575 ","$38,840 ","$39,517 ","$39,392 ","$38,877 ","$37,994 ","$37,626 ","$37,435 ","$35,737 ","$33,089 ","$31,974 "
TX,"$44,404 ","$44,855 ","$44,949 ","$45,753 ","$46,143 ","$45,944 ","$45,729 ","$45,293 ","$43,621 ","$40,389 ","$40,582 "
UT,"$31,160 ","$32,641 ","$33,576 ","$34,454 ","$35,018 ","$35,581 ","$36,045 ","$35,603 ","$35,428 ","$34,532 ","$33,045 "
VA,"$52,307 ","$54,495 ","$55,589 ","$57,414 ","$57,295 ","$57,926 ","$59,776 ","$61,245 ","$58,621 ","$56,835 ","$56,428 "
VT,"$48,109 ","$48,888 ","$50,490 ","$51,433 ","$51,598 ","$51,780 ","$52,263 ","$51,934 ","$49,536 ","$45,865 ","$43,890 "
WA,"$41,971 ","$43,293 ","$44,055 ","$44,332 ","$44,339 ","$44,561 ","$45,655 ","$46,214 ","$45,044 ","$42,573 ","$41,997 "
WI,"$34,990 ","$34,440 ","$38,277 ","$41,716 ","$43,397 ","$44,825 ","$45,200 ","$45,647 ","$43,626 ","$41,201 ","$40,603 "
WV,"$25,773 ","$26,384 ","$27,654 ","$28,655 ","$29,465 ","$30,387 ","$30,289 ","$29,919 ","$29,141 ","$27,764 ","$27,360 "
WY,"$18,542 ","$19,217 ","$20,169 ","$20,662 ","$20,994 ","$21,301 ","$21,713 ","$23,078 ","$23,306 ","$22,562 ","$22,478 "
