In 2023 Dollars,STATE,Out-of-State Tuition and Fees,,,,,,,,,,,Percentage Change,,,In Current Dollars,STATE,Out-of-State Tuition and Fees,,,,,,,,,,,Percentage Change,
,,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year,5-Year,,,,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year,5-Year
University of Massachusetts Amherst,MA,"$35,222","$35,929","$39,598","$41,271","$41,768","$42,103","$42,717","$43,048","$41,714","$39,889","$39,323",-1.4%,-6.6%,,University of Massachusetts Amherst,MA,"$26,830","$27,812","$30,689","$32,389","$33,477","$34,570","$35,710","$36,430","$36,960","$38,171","$39,323",3.0%,13.7%
University of Maryland: College Park,MD,"$37,214","$38,393","$40,185","$40,833","$41,929","$42,890","$44,130","$43,591","$43,610","$41,245","$40,306",-2.3%,-6.0%,,University of Maryland: College Park,MD,"$28,347","$29,720","$31,144","$32,045","$33,606","$35,216","$36,891","$36,890","$38,640","$39,469","$40,306",2.1%,14.5%
University of Maine,ME,"$36,719","$36,799","$37,264","$37,587","$37,781","$37,719","$37,978","$38,439","$37,911","$35,254","$35,346",0.3%,-6.3%,,University of Maine,ME,"$27,970","$28,486","$28,880","$29,498","$30,282","$30,970","$31,748","$32,530","$33,590","$33,736","$35,346",4.8%,14.1%
University of Michigan,MI,"$53,026","$54,136","$56,097","$57,863","$59,234","$60,104","$61,247","$61,765","$60,077","$57,824","$58,072",0.4%,-3.4%,,University of Michigan,MI,"$40,392","$41,906","$43,476","$45,410","$47,476","$49,350","$51,200","$52,270","$53,230","$55,334","$58,072",4.9%,17.7%
University of Minnesota: Twin Cities,MN,"$26,083","$26,968","$28,658","$30,334","$33,191","$36,989","$39,864","$39,514","$38,328","$36,678","$36,410",-0.7%,-1.6%,,University of Minnesota: Twin Cities,MN,"$19,868","$20,876","$22,210","$23,806","$26,603","$30,371","$33,325","$33,440","$33,960","$35,099","$36,410",3.7%,19.9%
University of Missouri: Columbia,MO,"$29,628","$31,598","$32,472","$32,992","$33,070","$32,821","$33,841","$34,280","$34,367","$33,409","$34,322",2.7%,4.6%,,University of Missouri: Columbia,MO,"$22,569","$24,460","$25,166","$25,892","$26,506","$26,949","$28,290","$29,010","$30,450","$31,970","$34,322",7.4%,27.4%
University of Mississippi,MS,"$23,273","$24,731","$26,676","$28,061","$29,400","$29,978","$30,025","$29,659","$29,096","$27,630","$26,980",-2.4%,-10.0%,,University of Mississippi,MS,"$17,728","$19,144","$20,674","$22,022","$23,564","$24,614","$25,100","$25,100","$25,780","$26,440","$26,980",2.0%,9.6%
University of Montana,MT,"$28,513","$28,901","$29,739","$30,160","$31,030","$30,398","$31,277","$32,212","$32,143","$30,968","$31,622",2.1%,4.0%,,University of Montana,MT,"$21,719","$22,372","$23,048","$23,669","$24,871","$24,959","$26,146","$27,260","$28,480","$29,634","$31,622",6.7%,26.7%
University of North Carolina at Chapel Hill,NC,"$39,544","$43,184","$43,448","$43,217","$43,154","$44,046","$43,262","$42,740","$41,646","$39,248","$39,338",0.2%,-10.7%,,University of North Carolina at Chapel Hill,NC,"$30,122","$33,428","$33,673","$33,916","$34,588","$36,165","$36,165","$36,170","$36,900","$37,558","$39,338",4.7%,8.8%
University of North Dakota,ND,"$23,359","$23,781","$24,385","$24,581","$25,357","$25,282","$16,558","$17,193","$16,975","$16,271","$15,570",-4.3%,-38.4%,,University of North Dakota,ND,"$17,793","$18,409","$18,899","$19,291","$20,324","$20,759","$13,842","$14,550","$15,040","$15,570","$15,570",0.0%,-25.0%
