In 2023 Dollars,STATE,In-State Tuition and Fees,,,,,,,,,,,Percentage Change,,,In Current Dollars,STATE,In-State Tuition and Fees,,,,,,,,,,,Percentage Change,
,,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year,5-Year,,,,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year,5-Year
University of Massachusetts Amherst,MA,"$17,611","$17,366","$18,524","$19,312","$19,228","$19,349","$19,605","$19,426","$18,555","$17,715","$17,357",-2.0%,-10.3%,,University of Massachusetts Amherst,MA,"$13,415","$13,443","$14,356","$15,156","$15,411","$15,887","$16,389","$16,440","$16,440","$16,952","$17,357",2.4%,9.3%
University of Maryland: College Park,MD,"$12,027","$12,178","$12,898","$12,974","$12,974","$12,904","$12,895","$12,738","$12,370","$11,738","$11,505",-2.0%,-10.8%,,University of Maryland: College Park,MD,"$9,161","$9,427","$9,996","$10,182","$10,399","$10,595","$10,780","$10,780","$10,960","$11,233","$11,505",2.4%,8.6%
University of Maine,ME,"$13,916","$13,701","$13,690","$13,543","$13,602","$13,604","$13,682","$13,873","$13,532","$12,682","$12,606",-0.6%,-7.3%,,University of Maine,ME,"$10,600","$10,606","$10,610","$10,628","$10,902","$11,170","$11,438","$11,740","$11,990","$12,136","$12,606",3.9%,12.9%
University of Michigan,MI,"$17,253","$17,422","$17,878","$18,351","$18,498","$18,588","$18,611","$18,847","$18,261","$17,489","$17,228",-1.5%,-7.3%,,University of Michigan,MI,"$13,142","$13,486","$13,856","$14,402","$14,826","$15,262","$15,558","$15,950","$16,180","$16,736","$17,228",2.9%,12.9%
University of Minnesota: Twin Cities,MN,"$17,878","$17,603","$17,793","$18,020","$17,987","$17,895","$17,976","$17,890","$17,347","$16,573","$16,496",-0.5%,-7.8%,,University of Minnesota: Twin Cities,MN,"$13,618","$13,626","$13,790","$14,142","$14,417","$14,693","$15,027","$15,140","$15,370","$15,859","$16,496",4.0%,12.3%
University of Missouri: Columbia,MO,"$12,360","$12,186","$12,270","$12,128","$12,211","$12,033","$12,284","$12,490","$12,528","$12,126","$14,122",16.5%,17.4%,,University of Missouri: Columbia,MO,"$9,415","$9,433","$9,509","$9,518","$9,787","$9,880","$10,269","$10,570","$11,100","$11,603","$14,122",21.7%,42.9%
University of Mississippi,MS,"$8,874","$9,167","$9,605","$9,880","$10,356","$10,547","$10,563","$10,434","$10,079","$9,635","$9,412",-2.3%,-10.8%,,University of Mississippi,MS,"$6,760","$7,096","$7,444","$7,754","$8,300","$8,660","$8,830","$8,830","$8,930","$9,220","$9,412",2.1%,8.7%
University of Montana,MT,"$7,936","$7,879","$7,946","$7,919","$8,812","$8,823","$8,797","$8,780","$8,453","$8,067","$8,152",1.0%,-7.6%,,University of Montana,MT,"$6,045","$6,099","$6,158","$6,215","$7,063","$7,244","$7,354","$7,430","$7,490","$7,720","$8,152",5.6%,12.5%
University of North Carolina at Chapel Hill,NC,"$10,949","$10,769","$11,085","$10,915","$11,235","$10,944","$10,754","$10,623","$10,155","$9,403","$8,998",-4.3%,-17.8%,,University of North Carolina at Chapel Hill,NC,"$8,340","$8,336","$8,591","$8,566","$9,005","$8,986","$8,990","$8,990","$8,998","$8,998","$8,998",0.0%,0.1%
University of North Dakota,ND,"$9,856","$10,000","$10,277","$10,368","$10,539","$10,590","$11,646","$12,147","$11,963","$11,444","$10,951",-4.3%,3.4%,,University of North Dakota,ND,"$7,508","$7,741","$7,965","$8,137","$8,447","$8,695","$9,736","$10,280","$10,600","$10,951","$10,951",0.0%,25.9%
