Country,Year,Food_Price_Index,Inflation
AFG,2019,149.895975208032,149.895975208032
AFG,2018,146.52248185721,146.52248185721
AFG,2017,145.610741438593,145.610741438593
AFG,2016,138.708665508891,138.708665508891
AFG,2015,132.883209191418,132.883209191418
AFG,2014,133.768366733582,133.768366733582
AFG,2013,127.795223073732,127.795223073732
AFG,2012,119.005731346616,119.005731346616
AFG,2011,111.804185808913,111.804185808913
AFG,2010,100.0,100.0
ALB,2022,131.750834819418,131.750834819418
ALB,2021,123.448662047404,123.448662047404
ALB,2020,120.978911881374,120.978911881374
ALB,2019,119.049258384382,119.049258384382
ALB,2018,117.392740239274,117.392740239274
ALB,2017,115.059269640307,115.059269640307
ALB,2016,112.817958876089,112.817958876089
ALB,2015,111.397164149808,111.397164149808
ALB,2014,109.324187306059,109.324187306059
ALB,2013,107.575160377427,107.575160377427
ALB,2012,105.530381748189,105.530381748189
ALB,2011,103.429123247222,103.429123247222
ALB,2010,100.0,100.0
DZA,2023,198.550857618244,198.550857618244
DZA,2022,181.619931977783,181.619931977783
DZA,2021,166.218894516626,166.218894516626
DZA,2020,155.017250238567,155.017250238567
DZA,2019,151.361667767746,151.361667767746
DZA,2018,148.463994714821,148.463994714821
DZA,2017,142.384203185789,142.384203185789
DZA,2016,134.844870195013,134.844870195013
DZA,2015,126.736646357875,126.736646357875
DZA,2014,120.94986420025,120.94986420025
DZA,2013,117.521838067973,117.521838067973
DZA,2012,113.81793046074,113.81793046074
DZA,2011,104.524211505053,104.524211505053
DZA,2010,100.0,100.0
AGO,2023,804.965533144132,804.965533144132
AGO,2022,708.32143556848,708.32143556848
AGO,2021,583.675779438661,583.675779438661
AGO,2020,464.139837113465,464.139837113465
AGO,2019,379.597607073274,379.597607073274
AGO,2018,324.2180676186,324.2180676186
AGO,2017,271.019765885988,271.019765885988
AGO,2016,208.726444198045,208.726444198045
AGO,2015,159.705710507375,159.705710507375
AGO,2014,146.042056377604,146.042056377604
AGO,2013,136.131179284704,136.131179284704
AGO,2012,125.146088077866,125.146088077866
AGO,2011,113.482467921851,113.482467921851
AGO,2010,100.0,100.0
ATG,2023,133.943906030246,133.943906030246
ATG,2022,127.484109443389,127.484109443389
ATG,2021,118.555594720979,118.555594720979
ATG,2020,116.159233923762,116.159233923762
ATG,2019,115.436612610656,115.436612610656
ATG,2018,113.807620427883,113.807620427883
ATG,2017,112.450169287899,112.450169287899
ATG,2016,109.779789209262,109.779789209262
ATG,2015,110.319735692442,110.319735692442
ATG,2014,109.261003713412,109.261003713412
ATG,2013,108.083497160332,108.083497160332
ATG,2012,106.950360419397,106.950360419397
ATG,2011,103.456749672346,103.456749672346
ATG,2010,100.0,100.0
ARM,2023,155.258355482585,155.258355482585
ARM,2022,152.243300572606,152.243300572606
ARM,2021,140.134410734876,140.134410734876
ARM,2020,130.740891696593,130.740891696593
ARM,2019,129.176007326748,129.176007326748
ARM,2018,127.33795197859,127.33795197859
ARM,2017,124.207629297981,124.207629297981
ARM,2016,123.014933984404,123.014933984404
ARM,2015,124.766161254862,124.766161254862
ARM,2014,120.277766438018,120.277766438018
ARM,2013,116.795725329982,116.795725329982
ARM,2012,110.403716898759,110.403716898759
ARM,2011,107.650008078593,107.650008078593
ARM,2010,100.0,100.0
ABW,2019,109.534355432857,109.534355432857
ABW,2018,105.061405952227,105.061405952227
ABW,2017,101.385138831048,101.385138831048
ABW,2016,102.438495220917,102.438495220917
ABW,2015,103.401364578457,103.401364578457
ABW,2014,102.91277219904,102.91277219904
ABW,2013,102.480875854163,102.480875854163
ABW,2012,104.970852972298,104.970852972298
ABW,2011,104.316297421952,104.316297421952
ABW,2010,100.0,100.0
AUS,2023,139.880332986472,139.880332986472
AUS,2022,132.466181061394,132.466181061394
AUS,2021,124.271592091571,124.271592091571
AUS,2020,120.811654526535,120.811654526535
